date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:24:01	18895/18895	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Mar%202017%2005:54:01%20GMT	http://localhost:58003/TOP/drake-equation.aspx	C:/Users/vaishnav/Downloads/TOP_Deployed/top/localhost_58003/TOP/drake-equation.html	(from http://localhost:58003/)
11:24:02	19072/19072	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Mar%202017%2005:54:01%20GMT	http://localhost:58003/TOP/life-on-other-planet.aspx	C:/Users/vaishnav/Downloads/TOP_Deployed/top/localhost_58003/TOP/life-on-other-planet.html	(from http://localhost:58003/)
11:24:02	23186/23186	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Mar%202017%2005:54:02%20GMT	http://localhost:58003/Alien/message-to-aliens.aspx	C:/Users/vaishnav/Downloads/TOP_Deployed/top/localhost_58003/Alien/message-to-aliens.html	(from http://localhost:58003/)
11:24:02	19877/19877	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Mar%202017%2005:54:02%20GMT	http://localhost:58003/Alien/wow-signal.aspx	C:/Users/vaishnav/Downloads/TOP_Deployed/top/localhost_58003/Alien/wow-signal.html	(from http://localhost:58003/)
11:24:05	14033/14033	---M--	200	added ('OK')	image/png	etag:%220124ccc5affce1:0%22	http://localhost:58003/alien-ufo-pictures/top_alien.png	C:/Users/vaishnav/Downloads/TOP_Deployed/top/localhost_58003/alien-ufo-pictures/top_alien.png	(from http://localhost:58003/)
11:24:05	21272/21272	---M--	200	added ('OK')	image/png	etag:%220124ccc5affce1:0%22	http://localhost:58003/alien-ufo-pictures/top_top.png	C:/Users/vaishnav/Downloads/TOP_Deployed/top/localhost_58003/alien-ufo-pictures/top_top.png	(from http://localhost:58003/)
11:24:05	19118/19118	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Mar%202017%2005:54:05%20GMT	http://localhost:58003/UFO/crop-circles.aspx	C:/Users/vaishnav/Downloads/TOP_Deployed/top/localhost_58003/UFO/crop-circles.html	(from http://localhost:58003/)
11:24:05	20607/20607	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Mar%202017%2005:54:05%20GMT	http://localhost:58003/UFO/ufo-sightings.aspx	C:/Users/vaishnav/Downloads/TOP_Deployed/top/localhost_58003/UFO/ufo-sightings.html	(from http://localhost:58003/)
11:24:06	307/307	---M--	200	added ('OK')	image/jpeg	etag:%220124ccc5affce1:0%22	http://localhost:58003/alien-UFO-pictures/top_horizontal_divider.jpg	C:/Users/vaishnav/Downloads/TOP_Deployed/top/localhost_58003/alien-UFO-pictures/top_horizontal_divider.jpg	(from http://localhost:58003/alienufodisclosure.css)
11:24:06	18344/18344	---M--	200	added ('OK')	image/png	etag:%220124ccc5affce1:0%22	http://localhost:58003/alien-ufo-pictures/top_ufo.png	C:/Users/vaishnav/Downloads/TOP_Deployed/top/localhost_58003/alien-ufo-pictures/top_ufo.png	(from http://localhost:58003/)
